play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
coriolanus,Coriolanus,main,1,1,1.1,1,100,188,2316,9,0.04591,0.0,-0.24017,-0.98255,-0.02702,-0.02208,0.41619,0.95692,0.37349
coriolanus,Coriolanus,main,1,2,1.2,2,14,26,311,2,-0.01084,0.0,-0.31675,-0.97853,-0.0313,-0.00112,0.34177,0.90069,0.32708
coriolanus,Coriolanus,main,1,3,1.3,3,46,90,1131,6,0.10173,0.0,-0.0783,-0.93642,0.00085,-0.03674,0.43131,0.98558,0.40652
coriolanus,Coriolanus,main,1,4,1.4,4,43,75,771,16,-0.08531,0.0,-0.12998,-0.85167,0.06394,0.01619,0.4006,0.96734,0.3803
coriolanus,Coriolanus,main,1,5,1.5,5,15,29,262,5,-0.03087,0.0,-0.09924,-0.97126,0.11617,0.26453,0.45814,1.00356,0.49517
coriolanus,Coriolanus,main,1,6,1.6,6,31,72,955,4,0.12053,0.0,0.00289,0.07101,-0.01294,-0.00776,0.42568,0.99449,0.35306
coriolanus,Coriolanus,main,1,7,1.7,7,5,11,100,3,0.00566,0.0,-0.26733,-0.97677,-0.14305,-0.09735,0.27223,0.99161,0.24554
coriolanus,Coriolanus,main,1,8,1.8,8,10,14,179,4,-0.42115,-0.4389,-0.42644,-0.98703,-0.07287,-0.13666,0.36814,0.92446,0.45438
coriolanus,Coriolanus,main,1,9,1.9,9,25,65,900,10,0.01746,0.0,-0.06176,-0.92674,-0.00823,0.00391,0.43371,0.97719,0.38602
coriolanus,Coriolanus,main,1,10,1.10,10,10,23,347,3,-0.16502,0.0,-0.38492,-0.98275,0.04835,0.024,0.42228,0.92988,0.31036
coriolanus,Coriolanus,main,2,1,2.1,11,104,175,2203,12,0.0994,0.0,0.06197,0.95817,-0.00354,-0.01441,0.39204,0.98306,0.40392
coriolanus,Coriolanus,main,2,2,2.2,12,49,97,1604,8,0.1561,0.0,0.27589,0.98311,-0.0301,-0.00454,0.4319,0.94763,0.38598
coriolanus,Coriolanus,main,2,3,2.3,13,107,175,2258,16,0.10674,0.0,-0.10878,-0.97898,-0.04335,-0.02929,0.38339,0.97918,0.35417
coriolanus,Coriolanus,main,3,1,3.1,14,167,274,2883,9,-0.01787,0.0,-0.33703,-0.9875,-0.04283,-0.04478,0.36684,0.92683,0.39228
coriolanus,Coriolanus,main,3,2,3.2,15,49,91,1218,6,0.11856,0.0,0.03346,0.95662,-0.01838,-0.02191,0.39746,0.9917,0.36123
coriolanus,Coriolanus,main,3,3,3.3,16,69,108,1153,7,0.01226,0.0,-0.02408,-0.52705,-0.00208,0.00094,0.38653,0.97835,0.38725
coriolanus,Coriolanus,main,4,1,4.1,17,13,36,519,2,0.14708,0.11405,-0.15255,-0.96759,0.11074,0.20566,0.38329,0.98164,0.46526
coriolanus,Coriolanus,main,4,2,4.2,18,38,60,521,5,0.05282,0.0,-0.07423,-0.98291,0.13133,0.10753,0.42917,0.98989,0.35967
coriolanus,Coriolanus,main,4,3,4.3,19,21,36,416,2,0.19838,0.1366,0.27458,0.97848,0.04864,0.03243,0.33964,0.9562,0.3969
coriolanus,Coriolanus,main,4,4,4.4,20,13,20,245,4,0.0177,0.0,0.20136,0.93732,0.083,0.01101,0.39185,0.9698,0.34674
coriolanus,Coriolanus,main,4,5,4.5,21,99,174,1932,20,0.04009,0.0,-0.17778,-0.97236,0.01404,-0.00575,0.37983,0.95835,0.38216
coriolanus,Coriolanus,main,4,6,4.6,22,87,137,1385,12,0.01066,0.0,-0.17195,-0.97749,-0.07617,-0.04223,0.40185,0.96908,0.41378
coriolanus,Coriolanus,main,4,7,4.7,23,9,23,518,2,0.0908,0.0,-0.04601,-0.97039,-0.2044,-0.14897,0.52727,1.0066,0.33128
coriolanus,Coriolanus,main,5,1,5.1,24,25,52,670,3,0.16737,0.0,-0.22805,-0.98221,-0.26051,-0.29627,0.41513,0.97308,0.37182
coriolanus,Coriolanus,main,5,2,5.2,25,40,82,915,6,0.00673,0.0,-0.29817,-0.98835,-0.01318,-0.00435,0.40422,0.93896,0.37878
coriolanus,Coriolanus,main,5,3,5.3,26,34,116,1846,5,0.03749,0.0,-0.16545,-0.97897,-0.04806,-0.09831,0.4584,0.97252,0.4514
coriolanus,Coriolanus,main,5,4,5.4,27,30,60,603,9,0.11624,0.0,0.39603,0.98442,-0.00954,-0.00121,0.44268,0.90188,0.36413
coriolanus,Coriolanus,main,5,5,5.5,28,4,8,90,3,0.32275,0.4054,0.73231,0.99441,0.25807,0.28487,0.32691,0.69665,0.37836
coriolanus,Coriolanus,main,5,6,5.6,29,58,125,1480,10,-0.0311,0.0,-0.16652,-0.97867,0.04114,0.0498,0.45033,0.97246,0.41258
