play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
cymbeline,Cymbeline,main,1,1,1,62,156,1756,0,0.06236,0.0,-0.01461,-0.04556,0.38579,0.46384
cymbeline,Cymbeline,main,1,2,2,21,31,305,0,-0.09001,0.0,-0.08255,-0.125,0.33838,0.41693
cymbeline,Cymbeline,main,1,3,3,14,26,396,0,0.09298,0.0,-0.04455,-0.10768,0.41864,0.42132
cymbeline,Cymbeline,main,1,4,4,53,119,1716,0,0.18299,0.1877,-0.10954,-0.11187,0.4059,0.33017
cymbeline,Cymbeline,main,1,5,5,20,73,825,0,0.01009,0.0,-0.0921,-0.06939,0.38367,0.37556
cymbeline,Cymbeline,main,1,6,6,55,157,1914,0,0.15802,0.1779,0.03273,0.00794,0.47479,0.43369
cymbeline,Cymbeline,main,2,1,7,27,54,565,0,-0.0995,0.0,-0.11744,-0.14024,0.34951,0.37865
cymbeline,Cymbeline,main,2,2,8,9,64,657,0,0.03685,0.0,-0.00161,-0.01181,0.3822,0.38527
cymbeline,Cymbeline,main,2,3,9,54,142,1405,0,0.06716,0.0,-0.01715,-0.04215,0.37729,0.3933
cymbeline,Cymbeline,main,2,4,10,56,137,1521,0,0.15343,0.0,-0.01729,-0.01811,0.41285,0.3835
cymbeline,Cymbeline,main,2,5,11,1,26,309,0,-0.16868,-0.0867,-0.18884,-0.15057,0.49002,0.35978
cymbeline,Cymbeline,main,3,1,12,17,49,745,0,0.06646,0.0,-0.04976,-0.05716,0.42881,0.35507
cymbeline,Cymbeline,main,3,2,13,8,91,1095,0,0.12692,0.0,0.02344,-0.00853,0.35679,0.39633
cymbeline,Cymbeline,main,3,3,14,10,72,1003,0,0.08925,0.0,-0.05579,-0.02254,0.37185,0.41299
cymbeline,Cymbeline,main,3,4,15,35,167,1823,0,-0.06374,0.0,-0.09409,-0.07012,0.40461,0.40038
cymbeline,Cymbeline,main,3,5,16,57,150,1375,0,0.06687,0.0,0.04359,-0.00698,0.39257,0.40556
cymbeline,Cymbeline,main,3,6,17,31,96,896,0,0.07502,0.0,-0.01026,-0.02649,0.4131,0.42546
cymbeline,Cymbeline,main,3,7,18,6,9,95,0,-0.05488,0.0,0.09086,0.09964,0.32591,0.32465
cymbeline,Cymbeline,main,4,1,19,1,16,243,0,0.21662,0.5016,-0.13825,-0.30407,0.51901,0.40599
cymbeline,Cymbeline,main,4,2,20,126,400,4038,0,0.00537,0.0,-0.01234,-0.01682,0.39361,0.40656
cymbeline,Cymbeline,main,4,3,21,10,40,401,0,-0.07634,0.0,-0.06713,-0.11191,0.4282,0.41298
cymbeline,Cymbeline,main,4,4,22,13,36,460,0,-0.10234,0.0,-0.10668,-0.05554,0.42626,0.4055
cymbeline,Cymbeline,main,5,1,23,1,22,303,0,-0.08918,-0.0258,0.07123,0.11144,0.50037,0.49403
cymbeline,Cymbeline,main,5,2,24,6,14,171,0,0.01849,0.0,-0.1291,-0.07818,0.39071,0.43649
cymbeline,Cymbeline,main,5,3,25,18,67,958,0,-0.08057,0.0,-0.17148,-0.23549,0.49123,0.36568
cymbeline,Cymbeline,main,5,4,26,36,141,1852,0,0.03295,0.0,-0.08979,-0.0626,0.45559,0.40872
cymbeline,Cymbeline,main,5,5,27,140,402,4372,0,0.05848,0.0,0.00607,0.00161,0.43907,0.43842
