play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
pericles,Pericles,main,1,,1,1,15,310,0,0.03001,0.0,0.03899,0.04604,0.63397,0.40028
pericles,Pericles,main,1,1,2,26,85,1351,0,-0.03636,0.0,-0.0108,0.01346,0.55003,0.4789
pericles,Pericles,main,1,2,3,19,70,987,0,-0.00545,0.0,-0.09603,-0.04907,0.50877,0.37156
pericles,Pericles,main,1,3,4,10,24,328,0,0.02138,0.0,-0.12895,-0.13995,0.37286,0.33346
pericles,Pericles,main,1,4,5,22,64,837,0,-0.02918,0.0,-0.09638,-0.13577,0.48166,0.39493
pericles,Pericles,main,2,,6,2,15,254,0,0.01563,0.0,-0.12659,-0.0671,0.47202,0.36723
pericles,Pericles,main,2,1,7,54,115,1284,0,0.16856,0.0,0.06443,0.00955,0.36903,0.4147
pericles,Pericles,main,2,2,8,24,40,465,0,0.20126,0.0,0.00777,0.02259,0.36621,0.35114
pericles,Pericles,main,2,3,9,41,77,938,0,0.27492,0.2584,0.08915,0.13313,0.38497,0.37005
pericles,Pericles,main,2,4,10,17,37,434,0,0.0279,0.0,-0.06581,-0.0289,0.40982,0.41932
pericles,Pericles,main,2,5,11,37,82,913,0,0.16257,0.0,-0.00374,0.00147,0.37873,0.46468
pericles,Pericles,main,3,,12,1,14,254,0,0.00767,0.0,-0.15733,-0.11344,0.40916,0.25066
pericles,Pericles,main,3,1,13,24,61,602,0,0.04784,0.0,0.0767,0.06643,0.33072,0.43095
pericles,Pericles,main,3,2,14,38,82,799,0,0.13552,0.0,0.14809,0.15717,0.37043,0.39457
pericles,Pericles,main,3,3,15,10,27,316,0,0.18105,0.3412,0.03439,0.0787,0.50024,0.45909
pericles,Pericles,main,3,4,16,4,11,104,0,0.08679,0.0,0.13127,0.00163,0.29419,0.34417
pericles,Pericles,main,4,,17,1,17,292,0,-0.05181,0.0,-0.15163,-0.32571,0.58194,0.3934
pericles,Pericles,main,4,1,18,33,86,818,0,-0.01883,0.0,-0.0207,-0.02622,0.40679,0.40878
pericles,Pericles,main,4,2,19,65,115,1107,0,0.06549,0.0,-0.01115,-0.01435,0.3403,0.36523
pericles,Pericles,main,4,3,20,13,35,413,0,-0.23639,-0.2023,-0.11531,-0.10027,0.40334,0.47718
pericles,Pericles,main,4,4,21,2,24,377,0,-0.14661,0.0,-0.11059,-0.0108,0.37504,0.37941
pericles,Pericles,main,4,5,22,5,10,69,0,0.13413,0.07555,-0.2013,-0.14635,0.24476,0.26441
pericles,Pericles,main,4,6,23,80,150,1426,0,0.05127,0.0,0.01241,-0.0115,0.39211,0.39319
pericles,Pericles,main,5,,24,2,16,315,0,0.18818,0.2685,-0.01668,0.02319,0.56463,0.46049
pericles,Pericles,main,5,1,25,93,207,2018,0,0.07428,0.0,0.0913,0.03235,0.37787,0.395
pericles,Pericles,main,5,2,26,1,7,115,0,0.22156,0.0,0.13281,0.07825,0.28237,0.27219
pericles,Pericles,main,5,3,27,30,67,673,0,0.13372,0.0,0.23234,0.33282,0.35039,0.40908
