play_id,play_title,section,act,scene,act_scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,dl2_mean,dl2_median,vader_std,dl_std,dl2_std
timon-of-athens,Timon of Athens,main,1,1,1.1,1,172,266,2502,15,0.174,0.0,0.17,0.97934,0.07943,0.01574,0.36312,0.96719,0.35944
timon-of-athens,Timon of Athens,main,1,2,1.2,2,105,210,2455,23,0.21829,0.11645,0.13209,0.98163,0.04292,0.01437,0.41465,0.97555,0.41721
timon-of-athens,Timon of Athens,main,2,1,2.1,3,10,27,384,3,0.10956,0.0,-0.33495,-0.98993,-0.07545,0.00996,0.30541,0.93846,0.38931
timon-of-athens,Timon of Athens,main,2,2,2.2,4,120,207,2052,15,-0.01734,0.0,-0.37946,-0.98751,-0.07675,-0.04303,0.35125,0.9114,0.34435
timon-of-athens,Timon of Athens,main,3,1,3.1,5,25,54,483,8,0.12114,0.0,-0.10495,-0.95509,-0.0721,0.0086,0.36168,0.98828,0.37047
timon-of-athens,Timon of Athens,main,3,2,3.2,6,30,63,604,5,0.12033,0.0,-0.10032,-0.98117,-0.09169,-0.06173,0.35291,0.97957,0.46035
timon-of-athens,Timon of Athens,main,3,3,3.3,7,7,29,405,3,-0.00387,0.0,-0.66936,-0.99482,-0.22865,-0.19832,0.47386,0.72719,0.39703
timon-of-athens,Timon of Athens,main,3,4,3.4,8,83,125,909,12,0.03006,0.0,-0.17448,-0.97294,0.00565,0.00543,0.31448,0.96759,0.36495
timon-of-athens,Timon of Athens,main,3,5,3.5,9,29,82,930,3,-0.20049,-0.28315,-0.1812,-0.97854,-0.1004,-0.06361,0.49043,0.96834,0.42188
timon-of-athens,Timon of Athens,main,3,6,3.6,10,63,104,925,6,0.01956,0.0,-0.13342,-0.98163,-0.00653,-0.00968,0.38159,0.98304,0.34883
timon-of-athens,Timon of Athens,main,4,1,4.1,11,3,19,331,2,-0.16148,-0.1511,-0.56078,-0.99165,0.03246,0.0712,0.49204,0.82284,0.48166
timon-of-athens,Timon of Athens,main,4,2,4.2,12,12,39,467,4,0.01815,0.0,-0.2908,-0.98328,-0.18809,-0.18723,0.49469,0.94619,0.42473
timon-of-athens,Timon of Athens,main,4,3,4.3,13,176,418,4763,11,-0.04432,0.0,-0.32595,-0.98303,-0.06942,-0.06759,0.43728,0.92419,0.43961
timon-of-athens,Timon of Athens,main,5,1,5.1,14,81,178,1965,5,0.09145,0.0,0.27101,0.98324,0.06472,0.08031,0.40777,0.94438,0.39537
timon-of-athens,Timon of Athens,main,5,2,5.2,15,9,15,158,3,0.10113,0.0,-0.45888,-0.98306,-0.04693,0.00465,0.45046,0.9067,0.2935
timon-of-athens,Timon of Athens,main,5,3,5.3,16,3,15,111,2,-0.11489,0.0,-0.46367,-0.98908,-0.19038,-0.05708,0.29187,0.90409,0.36224
timon-of-athens,Timon of Athens,main,5,4,5.4,17,20,48,740,5,-0.10683,-0.11535,-0.22799,-0.97727,-0.15424,-0.02008,0.47978,0.95336,0.35514
